grade,headword,homograph,pos,guide,band
1,스키,0,명사,스키를 신다,초급
1,슬프다,0,형용사,슬픈 얼굴,초급
1,시,2,명사,몇 시/태어난 시,초급
1,시,3,의존명사,몇 시/태어난 시,초급
1,시간,1,명사,시간이 걸리다,초급
1,시간,2,의존명사,시간이 걸리다,초급
1,시다,0,형용사,귤이 시다,초급
1,시원하다,0,형용사,공기가 시원하다,초급
1,시월,0,명사,달,초급
1,시작,1,명사,시작 단계,초급
1,시장,2,명사,도매 시장,초급
1,시청,1,명사,시청 공무원,초급
1,시키다,0,동사,일을 시키다,초급
1,시험,0,명사,시험을 보다,초급
1,식당,0,명사,식당 음식,초급
1,식사,0,명사,식사를 대접하다,초급
1,신다,0,동사,신을 신다,초급
1,신문,2,명사,신문을 구독하다,초급
1,신발,0,명사,가죽 신발,초급
1,실례,1,명사,실례가 되다,초급
1,싫다,0,형용사,싫은 일,초급
1,싫어하다,0,동사,몹시 싫어하다,초급
1,십,1,수사,숫자,초급
1,십,2,관형사,숫자,초급
1,십만,1,관형사,숫자,초급
1,십만,2,수사,숫자,초급
1,십이월,0,명사,달,초급
1,십일월,0,명사,달,초급
1,싱겁다,0,형용사,국물이 싱겁다,초급
1,싸다,3,형용사,가격이 싸다,초급
1,쓰다,1,동사,글자를 쓰다,초급
1,쓰다,3,동사,컴퓨터를 쓰다,초급
1,쓰다,4,형용사,쓴 약,초급
1,씨,2,의존명사,마이클 씨,초급
1,씻다,0,동사,손을 씻다,초급
1,아,2,감탄사,,초급
1,아기,0,명사,아기가 울다,초급
1,아내,0,명사,아내와 남편,초급
1,아니다,0,형용사,사실이 아니다,초급
1,아니요,0,감탄사,,초급
1,아래,0,명사,불빛 아래,초급
1,아르바이트,0,명사,아르바이트를 구하다,초급
1,아름답다,0,형용사,아름다운 목소리,초급
1,아버지,0,명사,아버지와 어머니,초급
1,아이,1,명사,어린 아이,초급
1,아이스크림,0,명사,아이스크림을 먹다,초급
1,아저씨,0,명사,아저씨와 아줌마,초급
1,아주,1,부사,아주 똑똑하다,초급
1,아주머니,0,명사,동네 아주머니,초급
1,아직,0,부사,아직 없다,초급
1,아침,0,명사,아침 햇살,초급
1,아파트,0,명사,아파트에 살다,초급
1,아프다,0,형용사,배가 아프다,초급
1,아홉,1,관형사,숫자,초급
1,아홉,2,수사,숫자,초급
1,아흔,1,관형사,숫자,초급
1,아흔,2,수사,숫자,초급
1,안,1,명사,상자 안,초급
1,안,2,부사,안 춥다,초급
1,안경,0,명사,안경을 쓰다,초급
1,안내,0,명사,안내 방송,초급
1,안녕,2,감탄사,,초급
1,안녕히,0,부사,안녕히 계세요,초급
1,앉다,0,동사,의자에 앉다,초급
1,알다,0,동사,사실을 알다,초급
1,알리다,0,동사,사실을 알리다,초급
1,앞,0,명사,학교 앞,초급
1,야구,0,명사,야구 경기,초급
1,약,2,관형사,약 1시간,초급
1,약,3,명사,약을 복용하다,초급
1,약국,0,명사,약국에 가다,초급
1,약속,0,명사,약속을 지키다,초급
1,어느,0,관형사,어느 나라,초급
1,어디,1,대명사,,초급
1,어떤,0,관형사,어떤 일,초급
1,어떻다,0,형용사,근황이 어떻다,초급
1,어렵다,0,형용사,문제가 어렵다,초급
1,어머니,0,명사,어머니와 아버지,초급
1,어서,0,부사,어서 가다,초급
1,어제,1,명사,어제와 오늘,초급
1,어제,2,부사,어제와 오늘,초급
1,억,2,관형사,숫자,초급
1,억,3,수사,숫자,초급
1,언니,0,명사,언니와 동생,초급
1,언제,1,대명사,,초급
1,언제,2,부사,,초급
1,얼굴,0,명사,갸름한 얼굴,초급
1,얼마,0,명사,얼마예요?,초급
1,얼마나,0,부사,얼마나 예쁜지,초급
1,없다,0,형용사,돈이 없다,초급
1,에어컨,0,명사,에어컨을 켜다,초급
1,여권,2,명사,여권을 발급하다,초급
1,여기,0,대명사,,초급
1,여덟,1,관형사,숫자,초급
1,여덟,2,수사,숫자,초급
1,여동생,0,명사,여동생을 두다,초급
1,여든,1,관형사,숫자,초급
1,여든,2,수사,숫자,초급
1,여러,0,관형사,여러 나라,초급
1,여러분,0,대명사,,초급
1,여름,0,명사,무더운 여름,초급
1,여보세요,0,감탄사,,초급
1,여섯,1,관형사,숫자,초급
1,여섯,2,수사,숫자,초급
1,여자,0,명사,예쁜 여자,초급
1,여행,0,명사,여행 경비,초급
1,여행사,0,명사,여행사 상품,초급
1,역,3,명사,역에 내리다,초급
1,연극,0,명사,연극 공연,초급
1,연습,2,명사,피아노 연습,초급
1,연필,0,명사,연필을 깎다,초급
1,열,1,관형사,숫자,초급
1,열,2,수사,숫자,초급
1,열다,0,동사,문을 열다,초급
1,열쇠,0,명사,열쇠 구멍,초급
1,열심히,0,부사,열심히 공부하다,초급
1,영,2,명사,숫자,초급
1,영국,0,명사,나라,초급
1,영어,0,명사,영어 수업,초급
1,영화,1,명사,영화 감상,초급
1,영화관,0,명사,영화관에 가다,초급
1,영화배우,0,명사,영화배우가 되다,초급
1,옆,0,명사,옆 사람,초급
1,예,4,감탄사,,초급
1,예쁘다,0,형용사,얼굴이 예쁘다,초급
1,오,3,수사,숫자,초급
1,오,4,관형사,숫자,초급
1,오늘,1,명사,오늘의 메뉴,초급
1,오늘,2,부사,오늘의 메뉴,초급
1,오다,1,동사,학교에 오다,초급
1,오렌지,0,명사,오렌지 주스,초급
1,오른쪽,0,명사,오른쪽 방향,초급
1,오빠,0,명사,친한 오빠,초급
1,오십,1,수사,숫자,초급
1,오십,2,관형사,숫자,초급
1,오월,0,명사,달,초급
1,오전,0,명사,오전을 넘기다,초급
1,오후,2,명사,오후 수업,초급
1,올라가다,0,동사,나무에 올라가다,초급
1,올해,0,명사,올해를 시작하다,초급
1,옷,0,명사,옷을 입다,초급
1,와,3,감탄사,,초급
1,왜,2,부사,왜 그래?,초급
1,외국,0,명사,외국 생활,초급
1,외국어,0,명사,외국어로 말하다,초급
1,외국인,0,명사,외국인 노동자,초급
1,왼쪽,0,명사,왼쪽에 놓다,초급
1,요리,2,명사,요리 비결,초급
1,요일,0,명사,시간,초급
1,요즘,0,명사,요즘 시대,초급
1,우리,2,대명사,,초급
1,우산,0,명사,우산을 쓰다,초급
1,우유,0,명사,우유를 마시다,초급
1,우체국,0,명사,우체국 사서함,초급
1,우표,0,명사,우표를 붙이다,초급
1,운동,0,명사,운동 시설,초급
1,운동장,0,명사,운동장을 뛰다,초급
1,운동화,0,명사,운동화를 신다,초급
1,운전,0,명사,초보 운전,초급
1,울다,1,동사,아이가 울다,초급
1,웃다,0,동사,활짝 웃다,초급
1,원,1,의존명사,천 원,초급
1,월,1,명사,몇 월,초급
1,월,2,의존명사,몇 월,초급
1,월요일,0,명사,요일,초급
1,위,1,명사,위와 아래,초급
1,유명,0,명사,유명 가수,초급
1,유월,0,명사,달,초급
1,육,1,수사,숫자,초급
1,육,2,관형사,숫자,초급
1,육십,1,수사,숫자,초급
1,육십,2,관형사,숫자,초급
1,은행,1,명사,은행에 입금하다,초급
1,음,1,감탄사,,초급
1,음료수,0,명사,물,초급
1,음식,0,명사,음식을 먹다,초급
1,음악,0,명사,음악을 듣다,초급
1,의사,3,명사,치과 의사,초급
1,의자,0,명사,의자에 앉다,초급
1,이,5,대명사,,초급
1,이,6,관형사,,초급
1,이,7,수사,숫자,초급
1,이,8,관형사,숫자,초급
1,이것,0,대명사,,초급
1,이따가,0,부사,이따가 가다,초급
1,이름,0,명사,이름을 짓다,초급
1,이번,0,명사,이번 주,초급
1,이십,1,수사,숫자,초급
1,이십,2,관형사,숫자,초급
1,이야기,0,명사,이야기를 들려주다,초급
1,이월,1,명사,달,초급
1,이유,0,명사,이유를 묻다,초급
1,이쪽,0,대명사,,초급
1,인도네시아,0,명사,나라,초급
1,인분,2,의존명사,삼 인분,초급
1,인사,2,명사,아침 인사,초급
1,인천,0,명사,도시,초급
1,인터넷,0,명사,인터넷 쇼핑,초급
1,일,1,명사,일이 쌓이다,초급
1,일,2,수사,숫자,초급
1,일,3,관형사,숫자,초급
1,일,5,명사,삼 일,초급
1,일,6,의존명사,삼 일,초급
1,일곱,1,관형사,숫자,초급
1,일곱,2,수사,숫자,초급
1,일본,0,명사,나라,초급
1,일어나다,0,동사,일찍 일어나다,초급
1,일요일,0,명사,요일,초급
1,일월,0,명사,달,초급
1,일주일,0,명사,일주일이 걸리다,초급
1,일찍,0,부사,일찍 오다,초급
1,일흔,1,관형사,숫자,초급
1,일흔,2,수사,숫자,초급
1,읽다,0,동사,큰 소리로 읽다,초급
1,입,0,명사,입을 열다,초급
1,입다,0,동사,옷을 입다,초급
1,있다,1,동사,나무가 있다,초급
1,있다,2,형용사,나무가 있다,초급
1,자다,0,동사,낮잠을 자다,초급
1,자동차,0,명사,자동차를 운전하다,초급
1,자전거,0,명사,자전거를 타다,초급
1,자주,0,부사,자주 만나다,초급
1,작년,0,명사,작년 겨울,초급
1,작다,0,형용사,얼굴이 작다,초급
1,잔,0,명사,커피 잔,초급
1,잘,0,부사,잘 모르다,초급
1,잘못,1,명사,잘못이 많다,초급
1,잘못,2,부사,잘못이 많다,초급
1,잘하다,0,동사,노래를 잘하다,초급
1,잠,0,명사,잠이 오다,초급
1,잠깐,1,명사,잠깐 기다리다,초급
1,잠깐,2,부사,잠깐 기다리다,초급
1,잠시,1,명사,잠시 기다리다,초급
1,잠시,2,부사,잠시 기다리다,초급
1,잡수시다,0,동사,저녁을 잡수시다,초급
1,잡채,0,명사,잡채를 먹다,초급
1,장소,0,명사,약속 장소,초급
1,재미없다,0,형용사,재미없는 이야기,초급
1,재미있다,0,형용사,재미있는 친구,초급
1,저,1,대명사,,초급
1,저,3,대명사,,초급
1,저,4,관형사,,초급
1,저,5,감탄사,,초급
1,저것,0,대명사,,초급
1,저기,1,대명사,,초급
1,저녁,0,명사,저녁이 되다,초급
1,저쪽,0,대명사,,초급
1,적다,2,형용사,양이 적다,초급
1,전,2,명사,전 총리,초급
1,전,3,관형사,전 총리,초급
1,전공,1,명사,전공 공부,초급
